id,name,abvr,geo,order,y
ap:26:23812,MI-8,MI-8,Michigan 8,206,
ap:26:23813,MI-9,MI-9,Michigan 9,207,
ap:26:23814,MI-10,MI-10,Michigan 10,208,
ap:26:23815,MI-11,MI-11,Michigan 11,209,
ap:26:23816,MI-12,MI-12,Michigan 12,210,
ap:26:23817,MI-13,MI-13,Michigan 13,211,
ap:27:24007,MN-1,MN-1,Minnesota 1,212,
ap:27:24010,MN-2,MN-2,Minnesota 2,213,
ap:27:24013,MN-3,MN-3,Minnesota 3,214,
ap:27:24016,MN-4,MN-4,Minnesota 4,215,
ap:27:24019,MN-5,MN-5,Minnesota 5,216,
ap:27:24022,MN-6,MN-6,Minnesota 6,217,
ap:27:24025,MN-7,MN-7,Minnesota 7,218,
ap:27:24028,MN-8,MN-8,Minnesota 8,219,
ap:29:27025,MO-1,MO-1,Missouri 1,220,
ap:29:26023,MO-2,MO-2,Missouri 2,221,
ap:29:26025,MO-3,MO-3,Missouri 3,222,
ap:29:26027,MO-4,MO-4,Missouri 4,223,
ap:29:26029,MO-5,MO-5,Missouri 5,224,
ap:29:26031,MO-6,MO-6,Missouri 6,225,
ap:29:26033,MO-7,MO-7,Missouri 7,226,
ap:29:26035,MO-8,MO-8,Missouri 8,227,
ap:28:27167,MS-1,MS-1,Mississippi 1,228,
ap:28:25929,MS-2,MS-2,Mississippi 2,229,
ap:28:26488,MS-3,MS-3,Mississippi 3,230,
ap:28:26489,MS-4,MS-4,Mississippi 4,231,
ap:30:28447,MT-1,MT-1,Montana 1,232,
ap:30:28576,MT-2,MT-2,Montana 2,233,
ap:37:35385,NC-1,NC-1,North Carolina 1,234,
ap:37:35386,NC-2,NC-2,North Carolina 2,235,
ap:37:34969,NC-3,NC-3,North Carolina 3,236,
ap:37:35387,NC-4,NC-4,North Carolina 4,237,
ap:37:35388,NC-5,NC-5,North Carolina 5,238,
ap:37:35389,NC-6,NC-6,North Carolina 6,239,
ap:37:34973,NC-7,NC-7,North Carolina 7,240,
ap:37:35390,NC-8,NC-8,North Carolina 8,241,
ap:37:34975,NC-9,NC-9,North Carolina 9,242,
ap:37:35391,NC-10,NC-10,North Carolina 10,243,
ap:37:34977,NC-11,NC-11,North Carolina 11,244,
ap:37:35419,NC-12,NC-12,North Carolina 12,245,
ap:37:35753,NC-13,NC-13,North Carolina 13,246,
ap:37:36216,NC-14,NC-14,North Carolina 14,247,
ap:38:35342,ND-1,ND-1,North Dakota At-Large,248,
ap:31:28382,NE-1,NE-1,Nebraska 1,249,
ap:31:28385,NE-2,NE-2,Nebraska 2,250,
ap:31:28384,NE-3,NE-3,Nebraska 3,251,
ap:33:30015,NH-1,NH-1,New Hampshire 1,252,
ap:33:30017,NH-2,NH-2,New Hampshire 2,253,
ap:34:31202,NJ-1,NJ-1,New Jersey 1,254,
ap:34:31205,NJ-2,NJ-2,New Jersey 2,255,
ap:34:31216,NJ-3,NJ-3,New Jersey 3,256,
ap:34:31208,NJ-4,NJ-4,New Jersey 4,257,
ap:34:31211,NJ-5,NJ-5,New Jersey 5,258,
ap:34:31212,NJ-6,NJ-6,New Jersey 6,259,
ap:34:31218,NJ-7,NJ-7,New Jersey 7,260,
ap:34:31215,NJ-8,NJ-8,New Jersey 8,261,
ap:34:31226,NJ-9,NJ-9,New Jersey 9,262,
ap:34:31220,NJ-10,NJ-10,New Jersey 10,263,
ap:34:31230,NJ-11,NJ-11,New Jersey 11,264,
ap:34:31223,NJ-12,NJ-12,New Jersey 12,265,
ap:35:34051,NM-1,NM-1,New Mexico 1,266,
ap:35:33279,NM-2,NM-2,New Mexico 2,267,
ap:35:32052,NM-3,NM-3,New Mexico 3,268,
ap:32:3,NV-1,NV-1,Nevada 1,269,
ap:32:30989,NV-2,NV-2,Nevada 2,270,
ap:32:30155,NV-3,NV-3,Nevada 3,271,
ap:32:30992,NV-4,NV-4,Nevada 4,272,
ap:39:36015,OH-1,OH-1,Ohio 1,273,
ap:39:37258,OH-2,OH-2,Ohio 2,274,
ap:39:36019,OH-3,OH-3,Ohio 3,275,
ap:39:36021,OH-4,OH-4,Ohio 4,276,
ap:39:36023,OH-5,OH-5,Ohio 5,277,
ap:39:36025,OH-6,OH-6,Ohio 6,278,
ap:39:36027,OH-7,OH-7,Ohio 7,279,
ap:39:37564,OH-8,OH-8,Ohio 8,280,
ap:39:36031,OH-9,OH-9,Ohio 9,281,
ap:39:36033,OH-10,OH-10,Ohio 10,282,
ap:39:36035,OH-11,OH-11,Ohio 11,283,
ap:39:37571,OH-12,OH-12,Ohio 12,284,
ap:39:36039,OH-13,OH-13,Ohio 13,285,
ap:39:36041,OH-14,OH-14,Ohio 14,286,
ap:39:36043,OH-15,OH-15,Ohio 15,287,
ap:40:37030,OK-1,OK-1,Oklahoma 1,288,
ap:40:37855,OK-2,OK-2,Oklahoma 2,289,
ap:40:37034,OK-3,OK-3,Oklahoma 3,290,
ap:40:37036,OK-4,OK-4,Oklahoma 4,291,
ap:40:37856,OK-5,OK-5,Oklahoma 5,292,
ap:41:39031,OR-1,OR-1,Oregon 1,293,
ap:41:38529,OR-2,OR-2,Oregon 2,294,
ap:41:38530,OR-3,OR-3,Oregon 3,295,
ap:41:38531,OR-4,OR-4,Oregon 4,296,
ap:41:38532,OR-5,OR-5,Oregon 5,297,
ap:41:39166,OR-6,OR-6,Oregon 6,298,
